game_id,novelty_play,play_seq,recent_similar_game_id,recent_similar_play_seq
PHI199508200,5,"HR, K, K, 3, 2B",TOR199105300,"HR, K, K, 3, 3"
PIT199508200,5,"BB, CS2, 6, BB, 13",DET198305200,"BB, CS2, 6, BB, 9"
SEA199508200,6,"43, 8, BB, BB, 1B, 41",PHA194207130,"43, 8, BB, BB, 1B, 13"
SLN199508200,4,"3, 63, 1B, 6(1)",MIL199508110,"3, 63, 1B, K"
TOR199508200,3,"5, 43, HBP",TOR199505310,"5, 43, 9"
CAL199508210,4,"8, BB, K, 63",FLO199505030,"8, BB, K, 2B"
DET199508210,4,"BB, 16(1)3, BB, 2B",CHA198908090,"BB, 16(1)3, BB, K"
HOU199508210,5,"63, 13, 7, 1B, 16(1)3",CHA199307280,"63, 13, 7, 1B, SB2"
MIL199508211,5,"53, K, BB, 1B, 54(1)",PHI199108210,"53, K, BB, 1B, WP"
MIL199508212,6,"63, 1B, 1B, 1B, SF7, BB",MIN196609032,"63, 1B, 1B, 1B, SF7, K"
MON199508210,5,"9, 8, 63, K, 4",MIL198309091,"9, 8, 63, K, 1B"
NYN199508210,5,"43, 63, 8, 7, K",SDN198404110,"43, 63, 8, 7, BB"
OAK199508210,6,"K, 63, K, K, 1B, K",SLN198909240,"K, 63, K, K, 1B, 7"
PHI199508210,5,"K, 5, 7, 1B, CS2",MIL198806180,"K, 5, 7, 1B, 9"
PIT199508210,5,"K, 8, 1B, 1B, 53",CAL199508170,"K, 8, 1B, 1B, 8"
SEA199508210,6,"1B, BB, 3, K, K, K",MIN196605081,"1B, BB, 3, K, K, 63"
SLN199508210,5,"1B, 7, K, SB2, BB",MIN199506100,"1B, 7, K, SB2, K"
TEX199508210,5,"63, 1B, 7, 8, 2B",MIN197008270,"63, 1B, 7, 8, 7"
TOR199508210,5,"BB, K, 3, BB, 63",CLE195704260,"BB, K, 3, BB, BB"
CAL199508220,5,"BB, SB2, 53, HR, 63",BAL198806080,"BB, SB2, 53, HR, 53"
CHN199508220,5,"2B, BB, SB3, K, 31",PIT199305080,"2B, BB, SB3, K, 1B"
COL199508220,4,"1B, 2B, PO2, 7",PHA195308050,"1B, 2B, PO2, BB"
DET199508220,4,"1B, HR, 1B, 46(1)3",MIL199505110,"1B, HR, 1B, 1B"
HOU199508220,5,"1B, 9, 43, 43, 43",CIN198607270,"1B, 9, 43, 43, K"
MIL199508220,5,"K, 43, K, 31, 8",HOU199210030,"K, 43, K, 31, 1B"
MON199508220,5,"43, K, HR, 2B, 3",MIN198409170,"43, K, HR, 2B, BB"
NYN199508220,6,"BB, 2B, SF8, K, 63, K",MLN196107270,"BB, 2B, SF8, K, 63, 43"
OAK199508220,5,"K, 6, 9, 1B, 7",BOS196205190,"K, 6, 9, 1B, 46(1)3"
PHI199508220,6,"8, 43, 43, 1B, 46(1), 1B",PHI194207030,"8, 43, 43, 1B, 46(1), 5"
SEA199508220,4,"8, 7, HR, 7",SEA199404170,"8, 7, HR, 13"
SLN199508220,4,"1B, 2, SB2, CS3",TOR198405180,"1B, 2, SB2, 1B"
TEX199508220,5,"63, 7, 8, 63, 1B",CAL198305140,"63, 7, 8, 63, K"
TOR199508220,4,"K, 2B, SB3, 63",TOR199006210,"K, 2B, SB3, 2B"
CAL199508230,3,"43, E5, SB2",PIT198809230,"43, E5, 43"
CHN199508230,5,"BB, SB2, 63, K, 53",CHA199105040,"BB, SB2, 63, K, BB"
COL199508230,4,"1B, WP, BB, E1",FLO199310010,"1B, WP, BB, 2B"
DET199508230,5,"1B, 9, BB, 54(1)3, 1B",PHA193807020,"1B, 9, BB, 54(1)3, HR"
HOU199508230,4,"2B, 1B, 64(1), K",HOU198507060,"2B, 1B, 64(1), 36(1)"
MON199508230,5,"63, BB, K, K, 2B",TEX198806120,"63, BB, K, K, K"
NYN199508230,5,"HR, K, K, K, 2B",SEA199106100,"HR, K, K, K, K"
OAK199508230,4,"63, 23, 63, 8",HOU198208190,"63, 23, 63, 1B"
PHI199508230,5,"BB, 1B, 46(1)3, BB, WP",CLE198008040,"BB, 1B, 46(1)3, BB, 9"
SEA199508230,4,"3, 4, HR, 2B",KCA198708250,"3, 4, HR, K"
SLN199508230,4,"HR, 43, 53, K",BAL199209220,"HR, 43, 53, BB"
